操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-07-01,15:00:00,300414,中光防雷,sell,14.249,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10126.62
2025-07-10,09:30:00,000607,华媒控股,buy,5.950,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10121.62
2025-07-11,15:00:00,000607,华媒控股,sell,6.600,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10311.62
2025-07-15,09:30:00,600822,上海物贸,buy,12.090,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10306.62
2025-07-16,15:00:00,600822,上海物贸,sell,14.630,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10555.62
2025-08-04,09:30:00,002652,扬子新材,buy,4.180,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10550.62
2025-08-05,15:00:00,002652,扬子新材,sell,4.020,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10481.62
2025-08-12,09:30:00,600581,八一钢铁,buy,4.940,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10476.62
2025-08-13,15:00:00,600581,八一钢铁,sell,5.230,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10558.62
2025-09-04,09:30:00,600721,百花医药,buy,10.730,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10553.62
2025-09-05,15:00:00,600721,百花医药,sell,10.860,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10561.62
2025-09-09,09:30:00,600173,卧龙新能,buy,7.150,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10556.62
2025-09-10,15:00:00,600173,卧龙新能,sell,8.390,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10799.62
2025-09-29,09:30:00,688148,芳源股份,buy,6.790,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10794.62
2025-09-30,15:00:00,688148,芳源股份,sell,6.880,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10807.62
2025-10-23,09:30:00,003038,鑫铂股份,buy,17.820,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10802.62
2025-10-24,15:00:00,003038,鑫铂股份,sell,18.660,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10881.62
2025-10-29,09:30:00,300589,江龙船艇,buy,15.000,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10876.62
2025-10-30,15:00:00,300589,江龙船艇,sell,14.770,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10848.62
2025-11-03,09:30:00,300071,福石控股,buy,5.360,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10843.62
2025-11-04,15:00:00,300071,福石控股,sell,6.150,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11075.62
2025-11-06,09:30:00,300062,中能电气,buy,10.810,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11070.62
