alpha,threshold,alloc,ret_pct,dd_pct,trades
8,0.565,0.954,387.8636070530703,25.642556741779686,77
8,0.565,0.955,387.51203455307024,25.698939762557927,77
8,0.565,0.956,387.15639185307043,25.713605716666905,77
8,0.565,0.957,398.88006379734014,25.76239193127472,77
8,0.565,0.958,396.76360467539035,25.78369901597426,77
8,0.565,0.959,395.9820321753903,25.855917342929967,77
8,0.565,0.96,397.27317967539005,25.826968355514946,77
8,0.565,0.961,395.10901217539026,25.891216669770213,77
8,0.565,0.962,394.3298746753903,25.891216669770213,77
8,0.565,0.963,403.90981217539013,25.810624587546506,77
8,0.565,0.964,403.69241717539,25.927030353634205,77
8,0.565,0.965,403.73129717538995,25.91556645556069,77
8,0.565,0.966,403.2508796753899,25.93352843185926,77
8,0.565,0.967,403.12675713892736,25.982991685124894,77
8,0.565,0.968,401.70845963892725,25.982991685124894,77
8,0.565,0.969,403.61880096493746,26.049216513807536,77
8,0.565,0.97,403.3660484649376,26.103601722883358,77
8,0.565,0.971,403.8866143596876,26.099711891287885,77
8,0.565,0.972,403.4101268596875,26.103749312626384,77
8,0.565,0.973,401.26747596493743,26.144311094822864,77
8,0.565,0.974,401.01472346493745,26.198894841104885,77
8,0.565,0.975,400.6120734649375,26.198894841104885,77
8,0.565,0.976,400.60293185968743,26.198894841104885,77
8,0.565,0.977,411.21437441968726,26.16204793952645,77
8,0.565,0.978,411.31319441968736,26.16204793952645,77
8,0.565,0.979,410.87196441968734,26.16204793952645,77
8,0.565,0.98,409.4620323747672,26.161436991242322,77
8,0.565,0.981,407.4321348747671,26.170854456227243,77
8,0.565,0.982,407.3112297024047,26.17568374072538,77
8,0.565,0.983,407.4162297024049,26.430670999883265,77
8,0.565,0.984,405.64052970240476,26.430670999883265,77
8,0.565,0.985,405.64052970240476,26.430670999883265,77
8,0.565,0.986,404.98509308045476,26.49661729742298,77
8,0.565,0.987,404.30817308045465,26.610775298434547,77
8,0.565,0.988,404.30817308045465,26.610775298434547,77
8,0.565,0.989,403.6881730804547,26.63598792430351,77
8,0.565,0.99,403.2855230804548,26.63598792430351,77
8,0.57,0.94,388.5211635250199,25.128242329899507,77
8,0.57,0.941,389.0947460250198,25.09362160360315,77
