alpha,threshold,alloc,ret_pct,dd_pct,trades
10,0.65,0.995,1630.3113194308796,18.097637502608848,64
10,0.65,0.997,1621.3693694308797,18.283299140147165,64
10,0.65,0.998,1621.2031119564224,18.24714681310846,64
10,0.65,0.999,1627.963696956422,18.23589402202611,64
10,0.65,0.9998,1628.2241144564218,18.23589402202611,64
10,0.655,0.995,1630.3113194308796,18.097637502608848,64
10,0.655,0.997,1621.3693694308797,18.283299140147165,64
10,0.655,0.998,1621.2031119564224,18.24714681310846,64
10,0.655,0.999,1627.963696956422,18.23589402202611,64
10,0.655,0.9998,1628.2241144564218,18.23589402202611,64
10,0.66,0.995,1630.3113194308796,18.097637502608848,64
10,0.66,0.997,1621.3693694308797,18.283299140147165,64
10,0.66,0.998,1621.2031119564224,18.24714681310846,64
10,0.66,0.999,1627.963696956422,18.23589402202611,64
10,0.66,0.9998,1628.2241144564218,18.23589402202611,64
10,0.665,0.995,1630.3113194308796,18.097637502608848,64
10,0.665,0.997,1621.3693694308797,18.283299140147165,64
10,0.665,0.998,1621.2031119564224,18.24714681310846,64
10,0.665,0.999,1627.963696956422,18.23589402202611,64
10,0.665,0.9998,1628.2241144564218,18.23589402202611,64
10,0.67,0.995,1630.3113194308796,18.097637502608848,64
10,0.67,0.997,1621.3693694308797,18.283299140147165,64
10,0.67,0.998,1621.2031119564224,18.24714681310846,64
10,0.67,0.999,1627.963696956422,18.23589402202611,64
10,0.67,0.9998,1628.2241144564218,18.23589402202611,64
10,0.675,0.995,1630.3113194308796,18.097637502608848,64
10,0.675,0.997,1621.3693694308797,18.283299140147165,64
10,0.675,0.998,1621.2031119564224,18.24714681310846,64
10,0.675,0.999,1627.963696956422,18.23589402202611,64
10,0.675,0.9998,1628.2241144564218,18.23589402202611,64
10,0.68,0.995,1630.3113194308796,18.097637502608848,64
10,0.68,0.997,1621.3693694308797,18.283299140147165,64
10,0.68,0.998,1621.2031119564224,18.24714681310846,64
10,0.68,0.999,1627.963696956422,18.23589402202611,64
10,0.68,0.9998,1628.2241144564218,18.23589402202611,64
10,0.685,0.995,1630.3113194308796,18.097637502608848,64
10,0.685,0.997,1621.3693694308797,18.283299140147165,64
10,0.685,0.998,1621.2031119564224,18.24714681310846,64
10,0.685,0.999,1627.963696956422,18.23589402202611,64
10,0.685,0.9998,1628.2241144564218,18.23589402202611,64
10,0.69,0.995,1630.3113194308796,18.097637502608848,64
10,0.69,0.997,1621.3693694308797,18.283299140147165,64
10,0.69,0.998,1621.2031119564224,18.24714681310846,64
10,0.69,0.999,1627.963696956422,18.23589402202611,64
10,0.69,0.9998,1628.2241144564218,18.23589402202611,64
10,0.695,0.995,1630.3113194308796,18.097637502608848,64
10,0.695,0.997,1621.3693694308797,18.283299140147165,64
10,0.695,0.998,1621.2031119564224,18.24714681310846,64
10,0.695,0.999,1627.963696956422,18.23589402202611,64
10,0.695,0.9998,1628.2241144564218,18.23589402202611,64
10,0.7,0.995,1630.3113194308796,18.097637502608848,64
10,0.7,0.997,1621.3693694308797,18.283299140147165,64
10,0.7,0.998,1621.2031119564224,18.24714681310846,64
10,0.7,0.999,1627.963696956422,18.23589402202611,64
10,0.7,0.9998,1628.2241144564218,18.23589402202611,64
11,0.55,0.995,1266.3453641017202,18.206952845326693,64
11,0.55,0.997,1269.5669566017204,18.206952845326693,64
11,0.55,0.998,1310.5290865737277,18.210603396255987,64
11,0.55,0.999,1315.3277015737272,18.210603396255987,64
11,0.55,0.9998,1314.9519890737274,18.196925170893334,64
11,0.555,0.995,1266.3453641017202,18.206952845326693,64
11,0.555,0.997,1269.5669566017204,18.206952845326693,64
11,0.555,0.998,1310.5290865737277,18.210603396255987,64
11,0.555,0.999,1315.3277015737272,18.210603396255987,64
11,0.555,0.9998,1314.9519890737274,18.196925170893334,64
11,0.56,0.995,1266.3453641017202,18.206952845326693,64
11,0.56,0.997,1269.5669566017204,18.206952845326693,64
11,0.56,0.998,1310.5290865737277,18.210603396255987,64
11,0.56,0.999,1315.3277015737272,18.210603396255987,64
11,0.56,0.9998,1314.9519890737274,18.196925170893334,64
11,0.565,0.995,1266.3453641017202,18.206952845326693,64
11,0.565,0.997,1269.5669566017204,18.206952845326693,64
11,0.565,0.998,1310.5290865737277,18.210603396255987,64
11,0.565,0.999,1315.3277015737272,18.210603396255987,64
11,0.565,0.9998,1314.9519890737274,18.196925170893334,64
11,0.57,0.995,1266.3453641017202,18.206952845326693,64
11,0.57,0.997,1269.5669566017204,18.206952845326693,64
11,0.57,0.998,1310.5290865737277,18.210603396255987,64
11,0.57,0.999,1315.3277015737272,18.210603396255987,64
11,0.57,0.9998,1314.9519890737274,18.196925170893334,64
11,0.575,0.995,1266.3453641017202,18.206952845326693,64
11,0.575,0.997,1269.5669566017204,18.206952845326693,64
11,0.575,0.998,1310.5290865737277,18.210603396255987,64
11,0.575,0.999,1315.3277015737272,18.210603396255987,64
11,0.575,0.9998,1314.9519890737274,18.196925170893334,64
11,0.58,0.995,1266.3453641017202,18.206952845326693,64
11,0.58,0.997,1269.5669566017204,18.206952845326693,64
11,0.58,0.998,1310.5290865737277,18.210603396255987,64
11,0.58,0.999,1315.3277015737272,18.210603396255987,64
11,0.58,0.9998,1314.9519890737274,18.196925170893334,64
