seed,threshold,alloc,ret_pct,dd_pct,trades
650,0.66,0.9998,-41.79389027000008,65.67071395731502,62
675,0.58,0.998,-84.36844207000004,84.55844207000004,53
675,0.58,0.9998,-84.09844207000003,84.28844207000003,53
675,0.6,0.998,-84.36844207000004,84.55844207000004,53
675,0.6,0.9998,-84.09844207000003,84.28844207000003,53
675,0.62,0.998,-84.36844207000004,84.55844207000004,53
675,0.62,0.9998,-84.09844207000003,84.28844207000003,53
675,0.64,0.998,-84.36844207000004,84.55844207000004,53
675,0.64,0.9998,-84.09844207000003,84.28844207000003,53
675,0.66,0.998,-84.36844207000004,84.55844207000004,53
675,0.66,0.9998,-84.09844207000003,84.28844207000003,53
700,0.58,0.998,-26.373103300000032,64.97664969050487,61
700,0.58,0.9998,-26.72310330000004,64.97664969050487,61
700,0.6,0.998,-26.373103300000032,64.97664969050487,61
700,0.6,0.9998,-26.72310330000004,64.97664969050487,61
700,0.62,0.998,-26.373103300000032,64.97664969050487,61
700,0.62,0.9998,-26.72310330000004,64.97664969050487,61
700,0.64,0.998,-26.373103300000032,64.97664969050487,61
700,0.64,0.9998,-26.72310330000004,64.97664969050487,61
700,0.66,0.998,-26.373103300000032,64.97664969050487,61
700,0.66,0.9998,-26.72310330000004,64.97664969050487,61
725,0.58,0.998,-46.25492333999999,55.9163511546806,57
725,0.58,0.9998,-46.365365839999974,55.96762402088563,57
725,0.6,0.998,-46.25492333999999,55.9163511546806,57
725,0.6,0.9998,-46.365365839999974,55.96762402088563,57
725,0.62,0.998,-46.25492333999999,55.9163511546806,57
725,0.62,0.9998,-46.365365839999974,55.96762402088563,57
725,0.64,0.998,-46.25492333999999,55.9163511546806,57
725,0.64,0.9998,-46.365365839999974,55.96762402088563,57
725,0.66,0.998,-46.25492333999999,55.9163511546806,57
725,0.66,0.9998,-46.365365839999974,55.96762402088563,57
750,0.58,0.998,-1.6373194199999497,49.852036302997114,60
750,0.58,0.9998,-1.6373194199999497,49.852036302997114,60
750,0.6,0.998,-1.6373194199999497,49.852036302997114,60
750,0.6,0.9998,-1.6373194199999497,49.852036302997114,60
750,0.62,0.998,-1.6373194199999497,49.852036302997114,60
750,0.62,0.9998,-1.6373194199999497,49.852036302997114,60
750,0.64,0.998,-1.6373194199999497,49.852036302997114,60
750,0.64,0.9998,-1.6373194199999497,49.852036302997114,60
750,0.66,0.998,-1.6373194199999497,49.852036302997114,60
750,0.66,0.9998,-1.6373194199999497,49.852036302997114,60
775,0.58,0.998,-61.66910794999997,66.92562480271698,61
775,0.58,0.9998,-61.66910794999997,66.92562480271698,61
775,0.6,0.998,-61.66910794999997,66.92562480271698,61
775,0.6,0.9998,-61.66910794999997,66.92562480271698,61
775,0.62,0.998,-61.66910794999997,66.92562480271698,61
775,0.62,0.9998,-61.66910794999997,66.92562480271698,61
775,0.64,0.998,-61.66910794999997,66.92562480271698,61
775,0.64,0.9998,-61.66910794999997,66.92562480271698,61
775,0.66,0.998,-61.66910794999997,66.92562480271698,61
775,0.66,0.9998,-61.66910794999997,66.92562480271698,61
800,0.58,0.998,84.19299557,34.21528595623851,59
800,0.58,0.9998,87.08299557,34.21528595623851,59
800,0.6,0.998,84.19299557,34.21528595623851,59
800,0.6,0.9998,87.08299557,34.21528595623851,59
800,0.62,0.998,84.19299557,34.21528595623851,59
800,0.62,0.9998,87.08299557,34.21528595623851,59
800,0.64,0.998,84.19299557,34.21528595623851,59
800,0.64,0.9998,87.08299557,34.21528595623851,59
800,0.66,0.998,109.03297057000007,34.21528595623851,59
800,0.66,0.9998,109.61297057000006,34.21528595623851,59
825,0.58,0.998,-31.33913198,65.24770289130605,57
825,0.58,0.9998,-31.33913198,65.24770289130605,57
825,0.6,0.998,-31.33913198,65.24770289130605,57
825,0.6,0.9998,-31.33913198,65.24770289130605,57
825,0.62,0.998,-31.33913198,65.24770289130605,57
825,0.62,0.9998,-31.33913198,65.24770289130605,57
825,0.64,0.998,-31.33913198,65.24770289130605,57
825,0.64,0.9998,-31.33913198,65.24770289130605,57
825,0.66,0.998,-31.33913198,65.24770289130605,57
825,0.66,0.9998,-31.33913198,65.24770289130605,57
850,0.58,0.998,-57.12693691000001,64.94693691000002,62
850,0.58,0.9998,-57.12693691000001,64.94693691000002,62
850,0.6,0.998,-57.12693691000001,64.94693691000002,62
850,0.6,0.9998,-57.12693691000001,64.94693691000002,62
850,0.62,0.998,-57.12693691000001,64.94693691000002,62
850,0.62,0.9998,-57.12693691000001,64.94693691000002,62
850,0.64,0.998,-57.12693691000001,64.94693691000002,62
850,0.64,0.9998,-57.12693691000001,64.94693691000002,62
850,0.66,0.998,-57.12693691000001,64.94693691000002,62
850,0.66,0.9998,-57.12693691000001,64.94693691000002,62
875,0.58,0.998,-29.365160490000054,57.220594144683304,62
875,0.58,0.9998,-29.51516049000005,57.220594144683304,62
875,0.6,0.998,-29.365160490000054,57.220594144683304,62
875,0.6,0.9998,-29.51516049000005,57.220594144683304,62
875,0.62,0.998,-29.365160490000054,57.220594144683304,62
875,0.62,0.9998,-29.51516049000005,57.220594144683304,62
875,0.64,0.998,-29.365160490000054,57.220594144683304,62
875,0.64,0.9998,-29.51516049000005,57.220594144683304,62
875,0.66,0.998,-29.365160490000054,57.220594144683304,62
875,0.66,0.9998,-29.51516049000005,57.220594144683304,62
900,0.58,0.998,-59.66681771999996,79.54107519753997,56
900,0.58,0.9998,-59.706817719999975,79.56762409059137,56
900,0.6,0.998,-59.66681771999996,79.54107519753997,56
900,0.6,0.9998,-59.706817719999975,79.56762409059137,56
900,0.62,0.998,-59.66681771999996,79.54107519753997,56
900,0.62,0.9998,-59.706817719999975,79.56762409059137,56
900,0.64,0.998,-59.66681771999996,79.54107519753997,56
900,0.64,0.9998,-59.706817719999975,79.56762409059137,56
900,0.66,0.998,-59.66681771999996,79.54107519753997,56
900,0.66,0.9998,-59.706817719999975,79.56762409059137,56
925,0.58,0.998,108.53349462000006,39.40844057532579,62
925,0.58,0.9998,108.33349462000004,39.50926956349824,62
925,0.6,0.998,108.53349462000006,39.40844057532579,62
925,0.6,0.9998,108.33349462000004,39.50926956349824,62
925,0.62,0.998,108.53349462000006,39.40844057532579,62
925,0.62,0.9998,108.33349462000004,39.50926956349824,62
925,0.64,0.998,108.53349462000006,39.40844057532579,62
925,0.64,0.9998,108.33349462000004,39.50926956349824,62
925,0.66,0.998,108.53349462000006,39.40844057532579,62
925,0.66,0.9998,108.33349462000004,39.50926956349824,62
950,0.58,0.998,-65.97560444000001,82.62560444000002,53
950,0.58,0.9998,-66.01560444,82.62560444000002,53
950,0.6,0.998,-65.97560444000001,82.62560444000002,53
950,0.6,0.9998,-66.01560444,82.62560444000002,53
950,0.62,0.998,-65.97560444000001,82.62560444000002,53
950,0.62,0.9998,-66.01560444,82.62560444000002,53
950,0.64,0.998,-65.97560444000001,82.62560444000002,53
