stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,104,500,0.0221,0.000215,0.012,382,random,15,0.62,0.9998,-0.001,0.0255,30.958922979999983,32.99750560306459,56,-1993.141749387751
stage1,104,500,0.0221,0.000215,0.012,382,random,15,0.64,0.9998,-0.0005,0.0265,37.08852353999994,32.238430646203135,56,-1895.9231540043763
stage1,112,620,0.0277,0.000159,0.018,379,random,15,0.6,0.9998,-0.001,0.0255,-4.563893429999988,49.59640992999997,60,-4020.5330850299965
stage1,112,620,0.0277,0.000159,0.018,379,random,15,0.62,0.9998,-0.001,0.0255,-4.563893429999988,49.59640992999997,60,-4020.5330850299965
stage1,112,620,0.0277,0.000159,0.018,379,random,15,0.64,0.9998,-0.0005,0.0265,-4.563893429999988,49.59640992999997,60,-4020.5330850299965
stage1,88,500,0.0165,0.000277,0.011,491,random,15,0.6,0.9998,-0.001,0.0255,-5.122336034150066,62.85384013374337,58,-5611.983152083354
stage1,88,500,0.0165,0.000277,0.011,491,random,15,0.62,0.9998,-0.001,0.0255,-5.122336034150066,62.85384013374337,58,-5611.983152083354
stage1,88,500,0.0165,0.000277,0.011,491,random,15,0.64,0.9998,-0.0005,0.0265,-29.922997159999998,65.23563736619361,57,-5922.599481103234
stage1,96,420,0.0188,0.000199,0.012,415,random,15,0.6,0.9998,-0.001,0.0255,-16.759423790000007,58.32446726749206,62,-5080.095495889047
stage1,96,420,0.0188,0.000199,0.012,415,random,15,0.62,0.9998,-0.001,0.0255,-16.759423790000007,58.32446726749206,62,-5080.095495889047
stage1,96,420,0.0188,0.000199,0.012,415,random,15,0.64,0.9998,-0.0005,0.0265,-16.759423790000007,58.32446726749206,62,-5080.095495889047
stage1,84,360,0.0246,0.000193,0.01,462,random,15,0.6,0.9998,-0.001,0.0255,133.21473593,54.9800634563941,57,-4528.792878837292
stage1,84,360,0.0246,0.000193,0.01,462,random,15,0.62,0.9998,-0.001,0.0255,133.21473593,54.9800634563941,57,-4528.792878837292
stage1,84,360,0.0246,0.000193,0.01,462,random,15,0.64,0.9998,-0.0005,0.0265,228.23748781113963,35.66456635360747,58,-2115.9104746217567
stage1,88,420,0.0208,0.000352,0.012,440,random,15,0.6,0.9998,-0.001,0.0255,1628.9536158001727,40.918543971899936,62,-1345.67166082782
stage1,88,420,0.0208,0.000352,0.012,440,random,15,0.62,0.9998,-0.001,0.0255,1628.9536158001727,40.918543971899936,62,-1345.67166082782
stage1,88,420,0.0208,0.000352,0.012,440,random,15,0.64,0.9998,-0.0005,0.0265,986.3860868697922,40.905127077016004,62,-1986.6291623721286
stage1,104,460,0.0175,0.00026,0.008,490,random,15,0.6,0.9998,-0.001,0.0255,2.894097750000002,50.389692525066366,58,-4108.269005257965
stage1,104,460,0.0175,0.00026,0.008,490,random,15,0.62,0.9998,-0.001,0.0255,2.894097750000002,50.389692525066366,58,-4108.269005257965
stage1,104,460,0.0175,0.00026,0.008,490,random,15,0.64,0.9998,-0.0005,0.0265,-8.864223440000018,50.389692525066366,57,-4120.027326447965
stage1,84,420,0.0244,0.000299,0.008,382,random,15,0.6,0.9998,-0.001,0.0255,-49.619056240000006,61.6970436,60,-5517.66428824
stage1,84,420,0.0244,0.000299,0.008,382,random,15,0.62,0.9998,-0.001,0.0255,-49.619056240000006,61.6970436,60,-5517.66428824
stage1,84,420,0.0244,0.000299,0.008,382,random,15,0.64,0.9998,-0.0005,0.0265,-31.305041330000016,58.212693250000015,61,-5081.228231330002
stage1,80,560,0.0194,0.000347,0.018,494,random,15,0.6,0.9998,-0.001,0.0255,-64.70898199999999,71.89312857989334,59,-6756.284411587202
stage1,80,560,0.0194,0.000347,0.018,494,random,15,0.62,0.9998,-0.001,0.0255,-64.70898199999999,71.89312857989334,59,-6756.284411587202
stage1,80,560,0.0194,0.000347,0.018,494,random,15,0.64,0.9998,-0.0005,0.0265,-64.70898199999999,71.89312857989334,59,-6756.284411587202
stage1,104,500,0.0249,0.000318,0.008,507,random,15,0.6,0.9998,-0.001,0.0255,-13.596342150000018,71.5560497834135,57,-6664.72231615962
stage1,104,500,0.0249,0.000318,0.008,507,random,15,0.62,0.9998,-0.001,0.0255,-13.596342150000018,71.5560497834135,57,-6664.72231615962
stage1,104,500,0.0249,0.000318,0.008,507,random,15,0.64,0.9998,-0.0005,0.0265,-23.852735880000044,67.45409391705289,59,-6182.744005926347
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.001,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.0005,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.001,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.0005,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
