seed,threshold,alloc,ret_pct,dd_pct,trades
434,0.6,0.998,-59.84018722999998,70.23018722999997,60
434,0.6,0.9998,-59.617889479999974,70.00788947999997,60
434,0.62,0.9998,-59.617889479999974,70.00788947999997,60
435,0.6,0.998,-46.938665059999984,68.69244083757184,59
435,0.6,0.9998,-46.87866505999998,68.61378126695789,59
435,0.62,0.9998,-46.87866505999998,68.61378126695789,59
436,0.6,0.998,-1.507569210000037,52.80948913588145,60
436,0.6,0.9998,-1.4675692100000415,52.80948913588145,60
436,0.62,0.9998,-1.4675692100000415,52.80948913588145,60
437,0.6,0.998,-43.33492232999999,63.69471569537063,60
437,0.6,0.9998,-43.33492232999999,63.69471569537063,60
437,0.62,0.9998,-43.33492232999999,63.69471569537063,60
438,0.6,0.998,-66.77071547999998,78.4897774116348,61
438,0.6,0.9998,-64.79071547999997,76.89463090194603,61
438,0.62,0.9998,-64.79071547999997,76.89463090194603,61
439,0.6,0.998,15.033232230000038,50.89578606703159,62
439,0.6,0.9998,14.70323223000003,51.02180346845342,62
439,0.62,0.9998,14.70323223000003,51.02180346845342,62
440,0.6,0.998,3054.1691471339727,15.970330460477403,64
440,0.6,0.9998,3055.384797133972,16.01910595150687,64
440,0.62,0.9998,3055.384797133972,16.01910595150687,64
441,0.6,0.998,-78.78338004000001,79.53338004000001,53
441,0.6,0.9998,-78.79408024000001,79.54408024000001,53
441,0.62,0.9998,-78.79408024000001,79.54408024000001,53
442,0.6,0.998,-34.28931995,50.06831638206556,56
442,0.6,0.9998,-29.04171516000005,50.71908568869842,56
442,0.62,0.9998,-29.04171516000005,50.71908568869842,56
443,0.6,0.998,255.14643968999997,33.42701721571109,61
443,0.6,0.9998,256.11477219,33.42701721571109,61
443,0.62,0.9998,256.11477219,33.42701721571109,61
444,0.6,0.998,-22.300466480000004,63.325638320622076,58
444,0.6,0.9998,-22.300466480000004,63.325638320622076,58
444,0.62,0.9998,-22.300466480000004,63.325638320622076,58
445,0.6,0.998,-58.53131166999992,68.60694988205111,57
445,0.6,0.9998,-59.94131166999992,69.67436248777575,57
445,0.62,0.9998,-59.94131166999992,69.67436248777575,57
446,0.6,0.998,169.4255566199999,42.31929964312363,64
446,0.6,0.9998,168.3729391199999,42.31929964312363,64
446,0.62,0.9998,168.3729391199999,42.31929964312363,64
447,0.6,0.998,-56.11342587999999,68.34616891161353,57
447,0.6,0.9998,-56.173425879999996,68.39002855013052,57
447,0.62,0.9998,-56.173425879999996,68.39002855013052,57
448,0.6,0.998,11.388336359999984,42.544673875416464,62
448,0.6,0.9998,11.058336359999998,43.043906753191145,62
448,0.62,0.9998,11.058336359999998,43.043906753191145,62
449,0.6,0.998,68.79240138995,48.172693812690945,62
449,0.6,0.9998,70.26240138994999,48.172693812690945,62
449,0.62,0.9998,70.26240138994999,48.172693812690945,62
450,0.6,0.998,-26.376350199999987,52.56627102550805,60
450,0.6,0.9998,-26.216350199999983,52.56627102550805,60
450,0.62,0.9998,-26.216350199999983,52.56627102550805,60
451,0.6,0.998,54.72962244999988,44.52188347049864,63
451,0.6,0.9998,54.72962244999988,44.52188347049864,63
451,0.62,0.9998,54.72962244999988,44.52188347049864,63
452,0.6,0.998,-44.21575565000004,55.407863476905874,58
452,0.6,0.9998,-44.21575565000004,55.407863476905874,58
452,0.62,0.9998,-44.21575565000004,55.407863476905874,58
453,0.6,0.998,-27.59768214999998,48.893902993789304,62
453,0.6,0.9998,-32.10039932999999,49.81114791686376,62
453,0.62,0.9998,-32.10039932999999,49.81114791686376,62
454,0.6,0.998,-39.155494749999974,71.30409197482257,56
454,0.6,0.9998,-39.31549474999997,71.39282304417661,56
454,0.62,0.9998,-39.31549474999997,71.39282304417661,56
455,0.6,0.998,-2.0263649300000575,49.70161557780435,63
455,0.6,0.9998,-2.0263649300000575,49.70161557780435,63
455,0.62,0.9998,-2.0263649300000575,49.70161557780435,63
456,0.6,0.998,-55.595609979999914,71.62384811483943,60
456,0.6,0.9998,-55.61478157999993,71.63800621164197,60
456,0.62,0.9998,-55.61478157999993,71.63800621164197,60
457,0.6,0.998,-60.518475030000005,76.54271033548083,58
457,0.6,0.9998,-60.518475030000005,76.54271033548083,58
457,0.62,0.9998,-60.518475030000005,76.54271033548083,58
458,0.6,0.998,182.8243454036999,52.66843343927461,61
458,0.6,0.9998,182.8243454036999,52.66843343927461,61
458,0.62,0.9998,182.8243454036999,52.66843343927461,61
459,0.6,0.998,-64.73584663,64.73584663,59
459,0.6,0.9998,-64.86880272999998,64.86880272999998,59
459,0.62,0.9998,-64.86880272999998,64.86880272999998,59
460,0.6,0.998,178.00129448999996,22.361338795308345,56
460,0.6,0.9998,178.00129448999996,22.361338795308345,56
460,0.62,0.9998,178.00129448999996,22.361338795308345,56
