stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,2834.0574691225697,16.00905119684059,62,2834.0574691225697
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,loss_rebound_t3,4,0.66,0.9998,-0.0005,0.0255,0.406,0.275,10,0.06,1374.3882058724812,39.18381787767662,66,-1392.0699394487128
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,14,loss_rebound_t3,3,0.66,1.0,-0.0005,0.0265,0.406,0.275,12,0.065,1023.8726293818274,20.797164147259746,65,463.8129317106577
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,17,t2_close,4,0.64,0.999,-0.001,0.0255,0.406,0.275,10,0.065,730.8666958628701,30.946816695737887,66,-1047.1513076256765
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,18,loss_rebound_t3,3,0.7,1.0,-0.0005,0.0255,0.406,0.287,12,0.065,360.88336690180006,46.20139491297743,62,-3247.6840226554914
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,17,t2_close,2,0.64,1.0,-0.0005,0.0255,0.412,0.275,12,0.06,1168.2586802291091,18.71977381150924,58,857.4858228480005
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,16,t2_close,3,0.7,0.999,-0.0005,0.0255,0.406,0.287,12,0.065,1324.7858207929153,17.46361518018806,64,1164.751999170348
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,strong_hold_t3,2,0.62,0.9998,-0.001,0.0255,0.412,0.275,12,0.06,812.6914782043402,21.018873096243667,58,226.02670665510016
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,t2_close,4,0.68,0.999,-0.0005,0.0265,0.412,0.287,10,0.065,1106.832333088175,31.643502611646156,66,-754.787980309364
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,18,loss_rebound_t3,2,0.66,0.9998,-0.0005,0.0265,0.412,0.275,12,0.06,511.3950913402201,59.736853860469964,56,-4721.427371916176
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,16,t2_close,3,0.68,0.9998,-0.001,0.0255,0.406,0.287,10,0.06,2492.0372511493683,17.455572899199662,62,2332.9685032454086
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,16,strong_hold_t3,4,0.62,0.999,-0.001,0.0255,0.406,0.287,10,0.065,413.89229774860013,36.38160750721043,63,-2016.3006031166517
gen1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,16,loss_rebound_t3,2,0.64,1.0,-0.0005,0.0265,0.406,0.287,10,0.065,700.1338330733624,42.22716329756581,57,-2431.5257626345347
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1683.825042462307,18.22800339605088,62,1432.0646349362012
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,18,loss_rebound_t3,2,0.62,0.999,-0.001,0.0255,0.406,0.287,12,0.065,373.2561872843901,54.449685401354486,54,-4225.106060878149
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,18,strong_hold_t3,2,0.64,1.0,-0.0005,0.0255,0.406,0.287,12,0.065,394.0915574879952,37.01625143701411,55,-2112.2586149536987
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,17,loss_rebound_t3,4,0.62,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,364.47154248501033,44.8949511813344,65,-3087.3225992751177
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,14,loss_rebound_t3,3,0.66,0.9998,-0.0005,0.0255,0.406,0.287,10,0.065,1880.7031920689776,15.977549857966217,64,1880.7031920689776
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,18,t2_close,4,0.7,0.999,-0.001,0.0255,0.412,0.287,10,0.065,1666.0415482958804,23.164553221148246,66,821.8951617580907
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,strong_hold_t3,3,0.64,1.0,-0.001,0.0255,0.412,0.275,10,0.065,1159.089631580429,32.218612711084525,58,-771.543893749714
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,16,strong_hold_t3,2,0.7,0.999,-0.0005,0.0255,0.412,0.275,10,0.065,430.4753874606952,31.571216452425592,57,-1422.470586830376
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,18,strong_hold_t3,2,0.7,1.0,-0.001,0.0255,0.406,0.287,12,0.065,294.41690901944,36.44664832058282,55,-2143.580889450498
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,18,t2_close,4,0.7,0.999,-0.001,0.0255,0.406,0.275,12,0.065,1418.1372776506273,23.151168687703837,68,575.5970351261667
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,loss_rebound_t3,2,0.7,1.0,-0.0005,0.0265,0.412,0.275,12,0.06,604.74116264851,27.93417352535012,57,-811.7596603935044
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,17,t2_close,4,0.64,0.999,-0.0005,0.0255,0.412,0.287,10,0.06,469.8603492229201,35.154093338465216,66,-1813.030851392906
gen1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,18,loss_rebound_t3,3,0.62,1.0,-0.0005,0.0255,0.412,0.287,10,0.065,448.5851186899776,45.601445416056826,61,-3087.9883312368415
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,16.24248260000003,29.146948947598695,61,-1545.7913911118433
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,92.32446759999999,31.821680481705744,62,-1790.6771902046894
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,16.24248260000003,29.146948947598695,61,-1545.7913911118433
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,92.32446759999999,31.821680481705744,62,-1790.6771902046894
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,16.24248260000003,29.146948947598695,61,-1545.7913911118433
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-04-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,101.0749593199999,31.409087780438128,62,-1732.4155743325757
