top_k,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
2,0.55,0.9998,-0.001,0.0255,1110.4284583399194,27.93417352535012,58
2,0.55,0.9998,-0.001,0.0265,1110.4284583399194,27.93417352535012,58
2,0.55,0.9998,-0.001,0.0275,1110.4284583399194,27.93417352535012,58
2,0.55,0.9998,-0.0005,0.0255,1110.4284583399194,27.93417352535012,58
2,0.55,0.9998,-0.0005,0.0265,1110.4284583399194,27.93417352535012,58
2,0.55,0.9998,-0.0005,0.0275,1110.4284583399194,27.93417352535012,58
2,0.55,0.9998,0.0,0.0255,996.9805609658696,27.93417352535012,57
2,0.55,0.9998,0.0,0.0265,996.9805609658696,27.93417352535012,57
2,0.55,0.9998,0.0,0.0275,996.9805609658696,27.93417352535012,57
2,0.6,0.95,-0.001,0.0255,987.084511380732,25.948749053036163,57
2,0.6,0.95,-0.001,0.0265,987.084511380732,25.948749053036163,57
2,0.6,0.95,-0.001,0.0275,987.084511380732,25.948749053036163,57
2,0.6,0.95,-0.0005,0.0255,987.084511380732,25.948749053036163,57
2,0.6,0.95,-0.0005,0.0265,987.084511380732,25.948749053036163,57
2,0.6,0.95,-0.0005,0.0275,987.084511380732,25.948749053036163,57
2,0.6,0.95,0.0,0.0255,883.8870188807321,25.948749053036163,57
2,0.6,0.95,0.0,0.0265,883.8870188807321,25.948749053036163,57
2,0.6,0.95,0.0,0.0275,883.8870188807321,25.948749053036163,57
2,0.6,0.98,-0.001,0.0255,1095.6550184403275,26.91524853165334,57
2,0.6,0.98,-0.001,0.0265,1095.6550184403275,26.91524853165334,57
2,0.6,0.98,-0.001,0.0275,1095.6550184403275,26.91524853165334,57
2,0.6,0.98,-0.0005,0.0255,1095.6550184403275,26.91524853165334,57
2,0.6,0.98,-0.0005,0.0265,1095.6550184403275,26.91524853165334,57
2,0.6,0.98,-0.0005,0.0275,1095.6550184403275,26.91524853165334,57
2,0.6,0.98,0.0,0.0255,978.3173559403272,26.91524853165334,57
2,0.6,0.98,0.0,0.0265,978.3173559403272,26.91524853165334,57
2,0.6,0.98,0.0,0.0275,978.3173559403272,26.91524853165334,57
2,0.6,0.995,-0.001,0.0255,1094.0361109403273,27.944284930846237,57
2,0.6,0.995,-0.001,0.0265,1094.0361109403273,27.944284930846237,57
2,0.6,0.995,-0.001,0.0275,1094.0361109403273,27.944284930846237,57
2,0.6,0.995,-0.0005,0.0255,1094.0361109403273,27.944284930846237,57
2,0.6,0.995,-0.0005,0.0265,1094.0361109403273,27.944284930846237,57
2,0.6,0.995,-0.0005,0.0275,1094.0361109403273,27.944284930846237,57
2,0.6,0.995,0.0,0.0255,976.3556334403274,27.944284930846237,57
2,0.6,0.995,0.0,0.0265,976.3556334403274,27.944284930846237,57
2,0.6,0.995,0.0,0.0275,976.3556334403274,27.944284930846237,57
2,0.6,0.998,-0.001,0.0255,1114.0383034658694,27.93417352535012,57
2,0.6,0.998,-0.001,0.0265,1114.0383034658694,27.93417352535012,57
2,0.6,0.998,-0.001,0.0275,1114.0383034658694,27.93417352535012,57
2,0.6,0.998,-0.0005,0.0255,1114.0383034658694,27.93417352535012,57
2,0.6,0.998,-0.0005,0.0265,1114.0383034658694,27.93417352535012,57
2,0.6,0.998,-0.0005,0.0275,1114.0383034658694,27.93417352535012,57
2,0.6,0.998,0.0,0.0255,995.4175809658695,27.93417352535012,57
2,0.6,0.998,0.0,0.0265,995.4175809658695,27.93417352535012,57
2,0.6,0.998,0.0,0.0275,995.4175809658695,27.93417352535012,57
2,0.6,0.9998,-0.001,0.0255,1119.3367059658692,27.93417352535012,57
2,0.6,0.9998,-0.001,0.0265,1119.3367059658692,27.93417352535012,57
2,0.6,0.9998,-0.001,0.0275,1119.3367059658692,27.93417352535012,57
2,0.6,0.9998,-0.0005,0.0255,1119.3367059658692,27.93417352535012,57
2,0.6,0.9998,-0.0005,0.0265,1119.3367059658692,27.93417352535012,57
2,0.6,0.9998,-0.0005,0.0275,1119.3367059658692,27.93417352535012,57
2,0.6,0.9998,0.0,0.0255,996.9805609658696,27.93417352535012,57
2,0.6,0.9998,0.0,0.0265,996.9805609658696,27.93417352535012,57
2,0.6,0.9998,0.0,0.0275,996.9805609658696,27.93417352535012,57
2,0.65,0.95,-0.001,0.0255,987.084511380732,25.948749053036163,57
2,0.65,0.95,-0.001,0.0265,987.084511380732,25.948749053036163,57
2,0.65,0.95,-0.001,0.0275,987.084511380732,25.948749053036163,57
2,0.65,0.95,-0.0005,0.0255,987.084511380732,25.948749053036163,57
2,0.65,0.95,-0.0005,0.0265,987.084511380732,25.948749053036163,57
2,0.65,0.95,-0.0005,0.0275,987.084511380732,25.948749053036163,57
2,0.65,0.95,0.0,0.0255,883.8870188807321,25.948749053036163,57
2,0.65,0.95,0.0,0.0265,883.8870188807321,25.948749053036163,57
2,0.65,0.95,0.0,0.0275,883.8870188807321,25.948749053036163,57
2,0.65,0.98,-0.001,0.0255,1095.6550184403275,26.91524853165334,57
2,0.65,0.98,-0.001,0.0265,1095.6550184403275,26.91524853165334,57
2,0.65,0.98,-0.001,0.0275,1095.6550184403275,26.91524853165334,57
2,0.65,0.98,-0.0005,0.0255,1095.6550184403275,26.91524853165334,57
2,0.65,0.98,-0.0005,0.0265,1095.6550184403275,26.91524853165334,57
2,0.65,0.98,-0.0005,0.0275,1095.6550184403275,26.91524853165334,57
2,0.65,0.98,0.0,0.0255,978.3173559403272,26.91524853165334,57
2,0.65,0.98,0.0,0.0265,978.3173559403272,26.91524853165334,57
2,0.65,0.98,0.0,0.0275,978.3173559403272,26.91524853165334,57
2,0.65,0.995,-0.001,0.0255,1094.0361109403273,27.944284930846237,57
2,0.65,0.995,-0.001,0.0265,1094.0361109403273,27.944284930846237,57
