stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,strong_hold_t3,4,0.7,0.999,-0.0005,0.0255,0.412,0.275,10,0.065,625.7905254905,31.542077943850032,63,-1223.658827771504
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,loss_rebound_t3,4,0.62,0.999,-0.0005,0.0265,0.412,0.287,10,0.065,423.7428001451399,40.51729915456942,66,-2502.733098403191
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,loss_rebound_t3,4,0.64,1.0,-0.0005,0.0265,0.412,0.287,10,0.065,348.5807290971201,45.08867279278222,65,-3126.460006036746
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,2,0.64,0.999,-0.0005,0.0265,0.406,0.287,12,0.065,1105.1550375820295,27.93417352535012,55,-311.3457854599849
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,loss_rebound_t3,2,0.62,1.0,-0.001,0.0255,0.406,0.275,10,0.065,322.8465334226396,54.70838600444395,53,-4306.559787110636
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,loss_rebound_t3,4,0.66,1.0,-0.0005,0.0255,0.412,0.287,10,0.065,469.79400708259027,46.03930387049501,64,-3119.322457376811
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,2,0.62,0.999,-0.0005,0.0255,0.406,0.275,10,0.065,1117.6238284658693,27.93417352535012,57,-298.8769945761451
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,t2_close,4,0.7,0.999,-0.001,0.0255,0.412,0.275,10,0.065,1089.1120068369896,32.68135634029597,67,-897.050753998527
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,strong_hold_t3,2,0.62,0.9998,-0.001,0.0255,0.406,0.287,12,0.065,1073.81540483614,20.719589215752617,57,523.064698945826
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,t2_close,2,0.7,0.9998,-0.0005,0.0255,0.412,0.287,12,0.06,1210.0994421087594,19.17342918810656,58,844.887939535972
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,t2_close,3,0.7,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1869.6130747182995,32.85454385962726,65,-137.33218843697227
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.64,0.999,-0.001,0.0255,0.412,0.287,10,0.06,3089.7755871339727,15.976528947256623,63,3089.7755871339727
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,2,0.68,0.9998,-0.0005,0.0265,0.412,0.275,10,0.06,430.49543996069497,31.665667615142475,57,-1433.7846738564022
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,4,0.62,0.9998,-0.001,0.0255,0.406,0.287,10,0.065,1049.4338484138727,39.18381787767662,66,-1717.0242969073213
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,2,0.66,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,1105.0330025820297,27.93417352535012,55,-311.46782045998475
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,strong_hold_t3,3,0.66,0.9998,-0.0005,0.0255,0.412,0.287,12,0.065,939.5420302389296,22.386077150306637,59,188.81277220213303
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,t2_close,2,0.68,1.0,-0.0005,0.0255,0.406,0.275,12,0.065,1194.5873244210095,19.17342918810656,58,829.3758218482221
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,2,0.68,0.999,-0.001,0.0255,0.406,0.275,10,0.06,834.8692279241454,21.018873096243667,57,248.20445637490536
