variant,seed,score_base_start,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,371,2025-01-01,14,0.6,0.9998,-0.0005,0.0265,7.016596979999967,38.05707321027037,62
mlp_h48_e300_gt0,371,2025-01-01,14,0.64,0.998,-0.001,0.0255,55.027556220000065,28.72078324598904,64
mlp_h48_e300_gt0,371,2025-01-01,14,0.64,0.998,-0.0005,0.0265,7.986596979999971,38.05707321027037,62
mlp_h48_e300_gt0,371,2025-01-01,14,0.64,0.9998,-0.001,0.0255,55.27755622000004,28.209588952693387,64
mlp_h48_e300_gt0,371,2025-01-01,14,0.64,0.9998,-0.0005,0.0265,7.016596979999967,38.05707321027037,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.58,0.998,-0.001,0.0255,0.5158406299999863,33.358379593798404,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.58,0.998,-0.0005,0.0265,-19.669696729999984,42.64943140730527,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.58,0.9998,-0.001,0.0255,1.8951919100000048,33.358379593798404,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.58,0.9998,-0.0005,0.0265,-19.94969672999999,42.74354577110382,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.6,0.998,-0.001,0.0255,0.5158406299999863,33.358379593798404,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.6,0.998,-0.0005,0.0265,-19.669696729999984,42.64943140730527,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.6,0.9998,-0.001,0.0255,1.8951919100000048,33.358379593798404,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.6,0.9998,-0.0005,0.0265,-19.94969672999999,42.74354577110382,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.64,0.998,-0.001,0.0255,0.5158406299999863,33.358379593798404,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.64,0.998,-0.0005,0.0265,-19.669696729999984,42.64943140730527,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.64,0.9998,-0.001,0.0255,1.8951919100000048,33.358379593798404,62
mlp_h48_e300_gt0,371,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,-19.94969672999999,42.74354577110382,62
mlp_h48_e300_gt0,371,2025-01-01,16,0.58,0.998,-0.001,0.0255,-14.724925330000039,38.23487181217403,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.58,0.998,-0.0005,0.0265,-36.48319224000003,53.041458603221834,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.58,0.9998,-0.001,0.0255,-14.684925330000043,38.200354137705595,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.58,0.9998,-0.0005,0.0265,-36.48319224000003,53.041458603221834,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.6,0.998,-0.001,0.0255,-14.724925330000039,38.23487181217403,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.6,0.998,-0.0005,0.0265,-36.48319224000003,53.041458603221834,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.6,0.9998,-0.001,0.0255,-14.684925330000043,38.200354137705595,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.6,0.9998,-0.0005,0.0265,-36.48319224000003,53.041458603221834,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.64,0.998,-0.001,0.0255,-14.724925330000039,38.23487181217403,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.64,0.998,-0.0005,0.0265,-36.48319224000003,53.041458603221834,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.64,0.9998,-0.001,0.0255,-14.684925330000043,38.200354137705595,63
mlp_h48_e300_gt0,371,2025-01-01,16,0.64,0.9998,-0.0005,0.0265,-36.48319224000003,53.041458603221834,63
mlp_h48_e300_gt0,419,2024-07-01,14,0.58,0.998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,14,0.58,0.998,-0.0005,0.0265,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,2024-07-01,14,0.58,0.9998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,14,0.58,0.9998,-0.0005,0.0265,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,2024-07-01,14,0.6,0.998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,14,0.6,0.998,-0.0005,0.0265,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,2024-07-01,14,0.6,0.9998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,14,0.6,0.9998,-0.0005,0.0265,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,2024-07-01,14,0.64,0.998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,14,0.64,0.998,-0.0005,0.0265,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,2024-07-01,14,0.64,0.9998,-0.001,0.0255,52.406411149999975,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,14,0.64,0.9998,-0.0005,0.0265,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,2024-07-01,15,0.58,0.998,-0.001,0.0255,46.00641114999993,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,15,0.58,0.998,-0.0005,0.0265,4.976716260000003,37.08200046870668,60
mlp_h48_e300_gt0,419,2024-07-01,15,0.58,0.9998,-0.001,0.0255,46.00641114999993,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,15,0.58,0.9998,-0.0005,0.0265,12.92671625999995,37.08200046870668,60
mlp_h48_e300_gt0,419,2024-07-01,15,0.6,0.998,-0.001,0.0255,46.00641114999993,35.013194857798844,61
mlp_h48_e300_gt0,419,2024-07-01,15,0.6,0.998,-0.0005,0.0265,4.976716260000003,37.08200046870668,60
