stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,84,520,0.021,0.0002,0.009,440,local,15,0.64,0.9998,-0.0005,0.0265,-57.789355549999996,63.444793180000026,59,-5735.564537150003
stage1,88,540,0.02,0.0002,0.01,438,seed_local,15,0.6,0.9998,-0.001,0.0255,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,540,0.02,0.0002,0.01,438,seed_local,15,0.62,0.9998,-0.001,0.0255,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,540,0.02,0.0002,0.01,438,seed_local,15,0.64,0.9998,-0.0005,0.0265,-56.415861050000004,73.46360150634193,61,-6936.448041811032
stage1,88,540,0.02,0.0002,0.01,439,seed_local,15,0.6,0.9998,-0.001,0.0255,76.67121959000002,51.02180346845342,63,-4110.34519662441
stage1,88,540,0.02,0.0002,0.01,439,seed_local,15,0.62,0.9998,-0.001,0.0255,76.67121959000002,51.02180346845342,63,-4110.34519662441
stage1,88,540,0.02,0.0002,0.01,439,seed_local,15,0.64,0.9998,-0.0005,0.0265,76.74980493000004,49.73258131428812,62,-3955.559952784574
stage1,88,540,0.02,0.0002,0.01,441,seed_local,15,0.6,0.9998,-0.001,0.0255,-80.47338004000001,80.47338004000001,52,-7801.678984840001
stage1,88,540,0.02,0.0002,0.01,441,seed_local,15,0.62,0.9998,-0.001,0.0255,-80.47338004000001,80.47338004000001,52,-7801.678984840001
stage1,88,540,0.02,0.0002,0.01,441,seed_local,15,0.64,0.9998,-0.0005,0.0265,-84.75881614000002,85.32881614000001,50,-8388.616752940003
stage1,88,540,0.02,0.0002,0.01,442,seed_local,15,0.6,0.9998,-0.001,0.0255,-28.041715160000045,50.28127958946486,56,-4126.195265895784
stage1,88,540,0.02,0.0002,0.01,442,seed_local,15,0.62,0.9998,-0.001,0.0255,-28.041715160000045,50.28127958946486,56,-4126.195265895784
stage1,88,540,0.02,0.0002,0.01,442,seed_local,15,0.64,0.9998,-0.0005,0.0265,-28.041715160000045,50.28127958946486,56,-4126.195265895784
stage1,88,500,0.021,0.0002,0.009,440,target_local,15,0.6,0.9998,-0.001,0.0255,1979.5186245860737,16.02407960429585,66,1979.5186245860737
stage1,88,500,0.021,0.0002,0.009,440,target_local,15,0.62,0.9998,-0.001,0.0255,1979.5186245860737,16.02407960429585,66,1979.5186245860737
stage1,88,500,0.021,0.0002,0.009,440,target_local,15,0.64,0.9998,-0.0005,0.0265,1979.5186245860737,16.02407960429585,66,1979.5186245860737
stage1,88,500,0.021,0.0002,0.011,440,target_local,15,0.6,0.9998,-0.001,0.0255,3047.286527133973,20.447030004867838,64,2529.242926549832
stage1,88,500,0.021,0.0002,0.011,440,target_local,15,0.62,0.9998,-0.001,0.0255,3047.286527133973,20.447030004867838,64,2529.242926549832
stage1,88,500,0.021,0.0002,0.011,440,target_local,15,0.64,0.9998,-0.0005,0.0265,1888.5009957998004,20.509612270768937,64,1362.947523307528
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.001,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.0005,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.001,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.0005,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.001,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.0005,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.62,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
