stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_pullback,ret_pct,dd_pct,trades,obj
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1683.825042462307,18.22800339605088,62,1432.0646349362012
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1009.9267099623078,40.86507671800782,60,-1958.282496198631
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-06-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1581.0835297254346,40.956122873421684,62,-1398.0512150851675
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-06-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1581.0835297254346,40.956122873421684,62,-1398.0512150851675
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-06-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,966.5093199623072,40.96007514693704,61,-2013.0996976701374
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-07-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,1598.4551497254345,40.955194375741215,61,-1380.5681753635115
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-07-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1598.4551497254345,40.955194375741215,61,-1380.5681753635115
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-07-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,972.1362973478073,40.83536429391975,61,-1992.5074179225635
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2024-12-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2024-12-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-01-01,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,0.065,3032.330230964772,16.01910595150687,65,3032.330230964772
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-01-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
