stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.6,0.9998,-0.001,0.0255,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.6,0.9998,-0.0005,0.0265,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.62,0.998,-0.001,0.0255,1879.6504720689775,15.970513967824216,64,1879.6504720689775
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.62,0.998,-0.0005,0.0265,1879.6504720689775,15.970513967824216,64,1879.6504720689775
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.62,0.999,-0.001,0.0255,1880.0600195689779,15.975981121001514,64,1880.0600195689779
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.62,0.999,-0.0005,0.0265,1880.0600195689779,15.975981121001514,64,1880.0600195689779
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.62,0.9998,-0.001,0.0255,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.62,0.9998,-0.0005,0.0265,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.64,0.998,-0.001,0.0255,1879.6504720689775,15.970513967824216,64,1879.6504720689775
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.64,0.998,-0.0005,0.0265,1879.6504720689775,15.970513967824216,64,1879.6504720689775
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.64,0.999,-0.001,0.0255,1880.0600195689779,15.975981121001514,64,1880.0600195689779
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.64,0.999,-0.0005,0.0265,1880.0600195689779,15.975981121001514,64,1880.0600195689779
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.64,0.9998,-0.001,0.0255,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.64,0.9998,-0.0005,0.0265,1880.7031920689776,15.977549857966217,64,1880.7031920689776
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.66,0.998,-0.001,0.0255,1879.6504720689775,15.970513967824216,64,1879.6504720689775
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.66,0.998,-0.0005,0.0265,1879.6504720689775,15.970513967824216,64,1879.6504720689775
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.66,0.999,-0.001,0.0255,1880.0600195689779,15.975981121001514,64,1880.0600195689779
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,0.66,0.999,-0.0005,0.0265,1880.0600195689779,15.975981121001514,64,1880.0600195689779
