stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.00016,0.01,440,seed_scan_wd16,15,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,seed_scan_wd16,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,seed_scan_wd16,15,0.64,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,seed_scan_wd16,15,0.6,0.998,-0.001,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage1,88,500,0.0215,0.00022,0.01,440,seed_scan_lr215,15,0.6,0.9998,-0.001,0.0255,3032.330230964772,16.01910595150687,65,3032.330230964772
stage1,88,500,0.0215,0.00022,0.01,440,seed_scan_lr215,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.0215,0.00022,0.01,440,seed_scan_lr215,15,0.64,0.9998,-0.0005,0.0265,1876.7631482998,18.22800339605088,64,1625.002740773694
stage1,88,500,0.0215,0.00022,0.01,440,seed_scan_lr215,15,0.6,0.998,-0.001,0.0255,3031.0355084647726,15.970330460477403,65,3031.0355084647726
stage1,84,500,0.021,0.0002,0.01,440,hidden_probe,15,0.6,0.9998,-0.001,0.0255,-56.13899163,63.444793180000026,59,-5733.914173230003
stage1,84,500,0.021,0.0002,0.01,440,hidden_probe,15,0.62,0.9998,-0.001,0.0255,-56.13899163,63.444793180000026,59,-5733.914173230003
stage1,84,500,0.021,0.0002,0.01,440,hidden_probe,15,0.64,0.9998,-0.0005,0.0265,-56.13899163,63.444793180000026,59,-5733.914173230003
stage1,84,500,0.021,0.0002,0.01,440,hidden_probe,15,0.6,0.998,-0.001,0.0255,-56.13899163,63.444793180000026,59,-5733.914173230003
stage1,92,500,0.021,0.0002,0.01,440,hidden_probe,15,0.6,0.9998,-0.001,0.0255,-52.5569264,59.56289772380752,58,-5264.504653256901
stage1,92,500,0.021,0.0002,0.01,440,hidden_probe,15,0.62,0.9998,-0.001,0.0255,-52.5569264,59.56289772380752,58,-5264.504653256901
stage1,92,500,0.021,0.0002,0.01,440,hidden_probe,15,0.64,0.9998,-0.0005,0.0265,-31.106602489999958,48.27074028329359,57,-3887.9954364852315
stage1,92,500,0.021,0.0002,0.01,440,hidden_probe,15,0.6,0.998,-0.001,0.0255,-52.5569264,59.56289772380752,58,-5264.504653256901
stage1,88,500,0.021,0.0002,0.01,441,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-78.79408024000001,79.54408024000001,53,-7688.483709040002
stage1,88,500,0.021,0.0002,0.01,441,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,-78.79408024000001,79.54408024000001,53,-7688.483709040002
stage1,88,500,0.021,0.0002,0.01,441,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,-85.60881614000002,86.20881614000002,50,-8495.066752940003
stage1,88,500,0.021,0.0002,0.01,441,seed_scan_base,15,0.6,0.998,-0.001,0.0255,-78.78338004000001,79.53338004000001,53,-7687.188984840002
stage1,88,520,0.0205,0.0002,0.01,441,seed_scan_e520,15,0.6,0.9998,-0.001,0.0255,-80.36408024,80.36408024,53,-7788.453709040001
stage1,88,520,0.0205,0.0002,0.01,441,seed_scan_e520,15,0.62,0.9998,-0.001,0.0255,-80.36408024,80.36408024,53,-7788.453709040001
stage1,88,520,0.0205,0.0002,0.01,441,seed_scan_e520,15,0.64,0.9998,-0.0005,0.0265,-85.84881614000001,86.20881614000002,51,-8495.306752940003
stage1,88,520,0.0205,0.0002,0.01,441,seed_scan_e520,15,0.6,0.998,-0.001,0.0255,-80.35338004,80.35338004,53,-7787.158984840001
stage1,84,500,0.021,0.0002,0.01,441,hidden_probe,15,0.6,0.9998,-0.001,0.0255,-64.59323020999999,65.55323020999998,58,-5995.380855409999
stage1,84,500,0.021,0.0002,0.01,441,hidden_probe,15,0.62,0.9998,-0.001,0.0255,-64.59323020999999,65.55323020999998,58,-5995.380855409999
stage1,84,500,0.021,0.0002,0.01,441,hidden_probe,15,0.64,0.9998,-0.0005,0.0265,-64.59323020999999,65.55323020999998,58,-5995.380855409999
stage1,84,500,0.021,0.0002,0.01,441,hidden_probe,15,0.6,0.998,-0.001,0.0255,-63.813230209999986,64.77323021,58,-5901.00085541
stage1,92,500,0.021,0.0002,0.01,441,hidden_probe,15,0.6,0.9998,-0.001,0.0255,47.063934739999965,36.39006766113291,58,-2384.1441845959494
stage1,92,500,0.021,0.0002,0.01,441,hidden_probe,15,0.62,0.9998,-0.001,0.0255,47.063934739999965,36.39006766113291,58,-2384.1441845959494
stage1,92,500,0.021,0.0002,0.01,441,hidden_probe,15,0.64,0.9998,-0.0005,0.0265,6.878506470000034,30.15038509684854,56,-1675.567705151825
stage1,92,500,0.021,0.0002,0.01,441,hidden_probe,15,0.6,0.998,-0.001,0.0255,47.78414136,36.569772697751404,58,-2404.988582370169
stage1,88,500,0.021,0.0002,0.01,442,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.021,0.0002,0.01,442,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.021,0.0002,0.01,442,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,500,0.021,0.0002,0.01,442,seed_scan_base,15,0.6,0.998,-0.001,0.0255,-34.28931995,50.06831638206556,56,-4106.887285797868
stage1,88,520,0.0205,0.0002,0.01,442,seed_scan_e520,15,0.6,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
stage1,88,520,0.0205,0.0002,0.01,442,seed_scan_e520,15,0.62,0.9998,-0.001,0.0255,-29.04171516000005,50.71908568869842,56,-4179.73199780381
