round,stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,14,loss_rebound_t3,2,0.66,0.9998,-0.0005,0.0265,0.412,0.275,10,0.065,746.900897481385,27.93417352535012,55,-669.5999255606295
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,17,loss_rebound_t3,4,0.64,0.999,-0.0005,0.0265,0.412,0.275,12,0.06,239.53712156511514,46.6230688174468,67,-3419.631136528501
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,16,strong_hold_t3,3,0.7,0.9998,-0.0005,0.0255,0.412,0.287,10,0.065,1353.2165752389296,22.386077150306637,58,602.4873172021331
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,16,strong_hold_t3,4,0.7,0.999,-0.001,0.0255,0.406,0.275,12,0.06,296.76572448015,36.38160750721043,62,-2133.427176385102
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,t2_close,3,0.64,0.9998,-0.0005,0.0265,0.406,0.287,12,0.06,1175.1866679788448,37.32412362064628,65,-1368.1081664987094
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,18,t2_close,4,0.62,0.9998,-0.001,0.0255,0.406,0.275,10,0.06,1387.9048432908626,24.762411108408322,67,352.0155102818637
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,t2_close,3,0.64,1.0,-0.001,0.0255,0.406,0.275,10,0.06,2255.41345612727,37.24303394627903,63,-278.15061742621356
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,14,t2_close,4,0.68,0.9998,-0.0005,0.0265,0.412,0.275,12,0.06,505.53356067603784,32.2007007401601,69,-1422.9505281431743
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,17,strong_hold_t3,2,0.66,0.9998,-0.0005,0.0255,0.406,0.275,10,0.065,1062.7727858732899,20.699766315203025,56,514.4008280489268
1,batch10,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-06-01,17,loss_rebound_t3,3,0.64,0.9998,-0.001,0.0255,0.406,0.275,12,0.06,234.05413829367748,46.08692295594001,63,-3360.776616419124
