variant,seed,target_gt,hidden,epochs,alpha,top_k,gap_min,gap_max,threshold,alloc,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.026,0.55,0.998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.026,0.55,0.9998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.026,0.6,0.998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.026,0.6,0.9998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.026,0.65,0.998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.026,0.65,0.9998,8.928195249999993,35.013194857798844,60
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0265,0.55,0.998,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0265,0.55,0.9998,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0265,0.6,0.998,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0265,0.6,0.9998,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0265,0.65,0.998,61.29528897999998,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,3,-0.0005,0.0265,0.65,0.9998,63.225288979999995,37.08200046870668,62
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.025,0.55,0.998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.025,0.55,0.9998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.025,0.6,0.998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.025,0.6,0.9998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.025,0.65,0.998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.025,0.65,0.9998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0255,0.55,0.998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0255,0.55,0.9998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0255,0.6,0.998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0255,0.6,0.9998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0255,0.65,0.998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.0255,0.65,0.9998,-49.851527129999994,64.39234685003098,65
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.026,0.55,0.998,-53.49858262000002,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.026,0.55,0.9998,-53.49858262000002,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.026,0.6,0.998,-53.49858262000002,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.026,0.6,0.9998,-53.49858262000002,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.026,0.65,0.998,-53.49858262000002,63.43488144981697,66
mlp_h48_e300_gt0,419,0.0,48,300,14,4,-0.0015,0.026,0.65,0.9998,-53.49858262000002,63.43488144981697,66
