seed,score_base_start,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades
420,2024-01-01,16,0.6,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-66.72605796999999,72.6280337777126,55
420,2024-01-01,16,0.6,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.778811569999974,64.36261137062196,56
420,2024-01-01,16,0.6,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.86605796999999,72.6280337777126,55
420,2024-01-01,16,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-56.57847612999998,64.50561303738586,56
420,2024-01-01,16,0.6,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-66.38605797,72.32415523583936,55
420,2024-01-01,16,0.6,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.93881156999998,64.50561303738586,56
420,2024-01-01,16,0.6,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.67605796999999,72.32415523583936,55
420,2024-01-01,16,0.62,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-56.41847612999997,64.36261137062196,56
420,2024-01-01,16,0.62,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-66.72605796999999,72.6280337777126,55
420,2024-01-01,16,0.62,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.778811569999974,64.36261137062196,56
420,2024-01-01,16,0.62,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.86605796999999,72.6280337777126,55
420,2024-01-01,16,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-56.57847612999998,64.50561303738586,56
420,2024-01-01,16,0.62,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-66.38605797,72.32415523583936,55
420,2024-01-01,16,0.62,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.93881156999998,64.50561303738586,56
420,2024-01-01,16,0.62,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.67605796999999,72.32415523583936,55
420,2024-01-01,16,0.64,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-56.41847612999997,64.36261137062196,56
420,2024-01-01,16,0.64,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-66.72605796999999,72.6280337777126,55
420,2024-01-01,16,0.64,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.778811569999974,64.36261137062196,56
420,2024-01-01,16,0.64,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.86605796999999,72.6280337777126,55
420,2024-01-01,16,0.64,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-56.57847612999998,64.50561303738586,56
420,2024-01-01,16,0.64,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-66.38605797,72.32415523583936,55
420,2024-01-01,16,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.93881156999998,64.50561303738586,56
420,2024-01-01,16,0.64,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.67605796999999,72.32415523583936,55
420,2024-01-01,16,0.66,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-56.41847612999997,64.36261137062196,56
420,2024-01-01,16,0.66,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-66.72605796999999,72.6280337777126,55
420,2024-01-01,16,0.66,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.778811569999974,64.36261137062196,56
420,2024-01-01,16,0.66,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.86605796999999,72.6280337777126,55
420,2024-01-01,16,0.66,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-56.57847612999998,64.50561303738586,56
420,2024-01-01,16,0.66,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-66.38605797,72.32415523583936,55
420,2024-01-01,16,0.66,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-53.93881156999998,64.50561303738586,56
420,2024-01-01,16,0.66,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-64.67605796999999,72.32415523583936,55
420,2024-07-01,14,0.58,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-62.88814068999997,66.83088913727077,56
420,2024-07-01,14,0.58,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-66.48605796999998,70.04656518676185,55
420,2024-07-01,14,0.58,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-59.808476129999974,64.36261137062196,56
420,2024-07-01,14,0.58,0.998,-0.0005,0.0265,0.406,0.236,10,0.1,-63.55605796999999,67.97154200371372,55
420,2024-07-01,14,0.58,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-63.048140689999975,66.97389080403465,56
420,2024-07-01,14,0.58,0.9998,-0.001,0.0255,0.406,0.236,10,0.1,-66.57605797,70.12700362431654,55
420,2024-07-01,14,0.58,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-59.89847612999998,64.50561303738586,56
420,2024-07-01,14,0.58,0.9998,-0.0005,0.0265,0.406,0.236,10,0.1,-63.716057969999994,68.11454367047762,55
420,2024-07-01,14,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-62.88814068999997,66.83088913727077,56
420,2024-07-01,14,0.6,0.998,-0.001,0.0255,0.406,0.236,10,0.1,-66.48605796999998,70.04656518676185,55
420,2024-07-01,14,0.6,0.998,-0.0005,0.0265,0.412,0.287,10,0.065,-59.808476129999974,64.36261137062196,56
