stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage1,88,460,0.02,0.000203,0.011,433,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-26.800609940000065,53.95355991,62,-4565.62779914
stage1,92,500,0.0222,0.000214,0.01,433,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-18.84478394999999,54.65080248889428,59,-4641.341082617313
stage1,92,500,0.0222,0.000214,0.01,433,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-18.84478394999999,54.65080248889428,59,-4641.341082617313
stage1,92,500,0.0222,0.000214,0.01,433,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-16.364783949999982,53.209734115882256,59,-4465.932877855871
stage1,92,500,0.0222,0.000214,0.01,433,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-18.704783949999992,54.598349186073804,59,-4634.906686278857
stage1,84,560,0.0193,0.000156,0.011,433,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,354.15300057999985,35.76137717712047,63,-2001.6122606744568
stage1,84,560,0.0193,0.000156,0.011,433,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,354.15300057999985,35.76137717712047,63,-2001.6122606744568
stage1,84,560,0.0193,0.000156,0.011,433,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,451.2363582599998,35.76137717712047,63,-1904.5289029944568
stage1,84,560,0.0193,0.000156,0.011,433,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,345.08317542000003,35.76137717712047,63,-2010.6820858344565
stage1,92,500,0.02,0.000151,0.01,434,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-15.233974069999935,51.43674479617745,58,-4252.043349611295
stage1,92,500,0.02,0.000151,0.01,434,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-15.233974069999935,51.43674479617745,58,-4252.043349611295
stage1,92,500,0.02,0.000151,0.01,434,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-15.233974069999935,51.43674479617745,58,-4252.043349611295
stage1,92,500,0.02,0.000151,0.01,434,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-15.193974069999927,51.409071859107044,58,-4248.682597162846
stage1,92,500,0.0222,0.000267,0.01,434,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,4.376841650000096,39.86311778163212,58,-2843.597292145854
stage1,92,500,0.0222,0.000267,0.01,434,random_local,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,4.376841650000096,39.86311778163212,58,-2843.597292145854
stage1,92,500,0.0222,0.000267,0.01,434,random_local,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,4.376841650000096,39.86311778163212,58,-2843.597292145854
stage1,92,500,0.0222,0.000267,0.01,434,random_local,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,4.376841650000096,39.86311778163212,58,-2843.597292145854
stage1,84,560,0.0229,0.000207,0.012,436,random_local,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-23.47823508000002,56.4100183524039,60,-4857.080437368468
