操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-06-27,09:30:00,000026,飞亚达,buy,13.100,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",50851.34
2025-06-30,15:00:00,000026,飞亚达,sell,15.820,T+2收盘回撤20.76%>-5%，T+2收盘卖出 (no intraday-high optimization).,61172.31
2025-07-02,09:30:00,002549,凯美特气,buy,11.560,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",61157.28
2025-07-03,15:00:00,002549,凯美特气,sell,13.260,T+2收盘回撤14.71%>-5%，T+2收盘卖出 (no intraday-high optimization).,69980.04
2025-07-09,09:30:00,000514,渝开发,buy,5.670,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",69962.61
2025-07-10,15:00:00,000514,渝开发,sell,6.860,T+2收盘回撤20.99%>-5%，T+2收盘卖出 (no intraday-high optimization).,84578.51
2025-07-14,09:30:00,605259,绿田机械,buy,22.030,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",84557.59
2025-07-15,15:00:00,605259,绿田机械,sell,26.470,T+2收盘回撤20.15%>-5%，T+2收盘卖出 (no intraday-high optimization).,101404.44
2025-07-17,09:30:00,603093,南华期货,buy,26.470,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",101379.29
2025-07-18,15:00:00,603093,南华期货,sell,25.610,T+2收盘回撤-3.25%>-5%，T+2收盘卖出 (no intraday-high optimization).,98086.96
2025-07-22,09:30:00,603275,众辰科技,buy,62.310,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",98063.60
2025-07-23,15:00:00,603275,众辰科技,sell,60.750,T+2收盘回撤-2.50%>-5%，T+2收盘卖出 (no intraday-high optimization).,95700.82
2025-07-25,09:30:00,002030,达安基因,buy,7.260,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",95677.04
2025-07-28,15:00:00,002030,达安基因,sell,7.360,T+2收盘回撤1.38%>-5%，T+2收盘卖出 (no intraday-high optimization).,96962.94
2025-08-01,09:30:00,300579,数字认证,buy,36.600,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",96939.15
2025-08-04,15:00:00,300579,数字认证,sell,35.580,T+2收盘回撤-2.79%>-5%，T+2收盘卖出 (no intraday-high optimization).,94264.02
2025-08-06,09:30:00,601606,长城军工,buy,43.130,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",94241.38
2025-08-07,15:00:00,601606,长城军工,sell,51.680,T+2收盘回撤19.82%>-5%，T+2收盘卖出 (no intraday-high optimization).,112169.24
2025-08-11,09:30:00,002046,国机精工,buy,31.050,"model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",112141.30
2025-08-12,15:00:00,002046,国机精工,sell,31.350,T+2收盘回撤0.97%>-5%，T+2收盘卖出 (no intraday-high optimization).,113193.08
