操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-07-31,09:30:00,300732,设研院,buy,11.260,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10988.65
2025-08-01,15:00:00,300732,设研院,sell,10.800,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10937.65
2025-08-12,09:30:00,002205,国统股份,buy,15.810,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10932.65
2025-08-13,15:00:00,002205,国统股份,sell,14.850,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10831.65
2025-08-27,09:30:00,603098,森特股份,buy,16.040,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10826.65
2025-08-28,15:00:00,603098,森特股份,sell,14.350,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10652.65
2025-09-01,09:30:00,002210,飞马国际,buy,3.650,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10647.65
2025-09-02,15:00:00,002210,飞马国际,sell,3.840,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10737.65
2025-09-04,09:30:00,600376,首开股份,buy,3.100,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10732.65
2025-09-05,15:00:00,600376,首开股份,sell,3.510,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10973.65
2025-09-09,09:30:00,600173,卧龙新能,buy,7.150,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10968.65
2025-09-10,15:00:00,600173,卧龙新能,sell,8.390,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11211.65
2025-09-25,09:30:00,300270,中威电子,buy,10.970,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11206.65
2025-09-26,15:00:00,300270,中威电子,sell,11.040,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11208.65
2025-09-30,09:30:00,000559,万向钱潮,buy,13.300,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11203.65
2025-10-09,15:00:00,000559,万向钱潮,sell,13.030,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11171.65
2025-10-16,09:30:00,600617,国新能源,buy,3.980,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11166.65
2025-10-17,15:00:00,600617,国新能源,sell,4.000,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11171.65
2025-10-29,09:30:00,300300,海峡创新,buy,10.080,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11166.65
2025-10-30,15:00:00,300300,海峡创新,sell,8.540,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11007.65
2025-11-06,09:30:00,300062,中能电气,buy,10.810,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11002.65
2025-11-07,15:00:00,300062,中能电气,sell,11.380,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11054.65
2025-12-12,09:30:00,600678,四川金顶,buy,15.680,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",11049.65
2025-12-15,15:00:00,600678,四川金顶,sell,14.260,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10902.65
2025-12-17,09:30:00,002697,红旗连锁,buy,7.300,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10897.65
2025-12-18,15:00:00,002697,红旗连锁,sell,6.790,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10790.65
2025-12-23,09:30:00,300086,康芝药业,buy,14.180,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10785.65
2025-12-24,15:00:00,300086,康芝药业,sell,13.310,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10693.65
2026-01-19,09:30:00,601163,三角轮胎,buy,16.140,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10688.65
2026-01-20,15:00:00,601163,三角轮胎,sell,15.810,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10650.65
2026-01-23,09:30:00,603608,天创时尚,buy,12.300,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10645.65
2026-01-26,15:00:00,603608,天创时尚,sell,11.660,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10576.65
2026-01-30,09:30:00,300164,通源石油,buy,13.320,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10571.65
2026-02-02,15:00:00,300164,通源石油,sell,11.050,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10339.65
2026-02-09,09:30:00,000056,皇庭国际,buy,2.310,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10334.65
2026-02-10,15:00:00,000056,皇庭国际,sell,2.410,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10409.65
