signal_date,buy_date,model,stock_code,stock_name,score,signal_close,next_open,open_gap_pct,amount_ma20,status_tags,planned_action,planned_position_pct,hard_stop_pct,structure_stop,max_hold_days,skip_reason
2025-07-25,2025-07-28,stwg,600082,ST海泰,57.5,4.06,4.06,0.0,89438567.834,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
2025-07-28,2025-07-29,stwg,600051,宁波联合,59.0,7.73,7.74,0.1293661060802087,67902941.9665,"[""STAGE_A_OK"", ""STAGE_B_COMPRESSED"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_trigger_tags;liquidity_low
2025-07-28,2025-07-29,stwg,600082,ST海泰,57.5,4.04,4.05,0.24752475247524774,88757020.25750001,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
2025-07-29,2025-07-30,stwg,600082,ST海泰,57.5,4.05,4.02,-0.7407407407407418,89875806.3195,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
2025-07-29,2025-07-30,stwg,600051,宁波联合,55.0,7.66,7.66,0.0,68845283.646,"[""STAGE_A_OK"", ""STAGE_B_COMPRESSED"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_trigger_tags;liquidity_low
2025-07-30,2025-07-31,stwg,600082,ST海泰,65.0,4.1,4.08,-0.4878048780487698,89653620.16950001,"[""STAGE_A_OK"", ""STAGE_B_COMPRESSED"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,missing_trigger_tags
2025-07-31,2025-08-01,stwg,600082,ST海泰,55.0,4.0,4.02,0.49999999999998934,90653387.16950001,"[""STAGE_A_OK"", ""STAGE_B_COMPRESSED"", ""VOLUME_DRY_UP""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_trigger_tags
2025-08-01,2025-08-04,stwg,600082,ST海泰,55.0,4.02,4.02,0.0,78331910.3105,"[""STAGE_A_OK"", ""STAGE_B_COMPRESSED"", ""VOLUME_DRY_UP""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_trigger_tags;liquidity_low
2025-08-07,2025-08-08,stwg,600051,宁波联合,55.0,7.74,7.71,-0.3875968992248069,51099728.627000004,"[""STAGE_A_OK"", ""STAGE_B_COMPRESSED"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_trigger_tags;liquidity_low
2026-01-07,2026-01-08,laowang,600067,冠城新材,60.0,4.3,4.28,-0.46511627906975495,202451967.88050002,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags
2026-02-05,2026-02-06,stwg,600078,澄星股份,57.5,11.5,11.37,-1.1304347826087024,599961473.1645,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
2026-02-06,2026-02-09,stwg,600078,澄星股份,57.5,11.69,11.83,1.1976047904191711,595475452.7715,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
2026-02-13,2026-02-24,stwg,600089,特变电工,57.5,28.75,29.15,1.3913043478260834,10675538947.101002,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
