操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-08-05,09:30:00,603124,江南新材,buy,61.500,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12405.19
2025-08-06,15:00:00,603124,江南新材,sell,60.350,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12285.19
2025-08-08,09:30:00,002046,国机精工,buy,28.230,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12280.19
2025-08-11,15:00:00,002046,国机精工,sell,31.950,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13391.19
2025-08-18,09:30:00,688448,磁谷科技,buy,57.000,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13386.19
2025-08-19,15:00:00,688448,磁谷科技,sell,65.150,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,14196.19
2025-08-21,09:30:00,300701,森霸传感,buy,13.450,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",14191.19
2025-08-22,15:00:00,300701,森霸传感,sell,12.550,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13466.19
2025-08-26,09:30:00,002190,成飞集成,buy,54.330,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13461.19
2025-08-27,15:00:00,002190,成飞集成,sell,51.100,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,13133.19
2025-08-29,09:30:00,002232,启明信息,buy,25.900,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13128.19
2025-09-01,15:00:00,002232,启明信息,sell,24.140,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,12419.19
2025-09-08,09:30:00,300331,苏大维格,buy,33.280,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12414.19
2025-09-09,15:00:00,300331,苏大维格,sell,30.430,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,11839.19
